sub_model_id,t_statistic,estimate,coefficient_name,standard_error
19,1318.19,4.2664686,constant,0.0032366
19,265.29,0.2762521,lnclvalue_psf,0.0010413
12,130.96,3.9321504,constant,0.0300265
12,35.78,0.3675523,lnclvalue_psf,0.0102737
3,62.23,4.7168048,constant,0.0758002
3,8.69,0.2194999,lnclvalue_psf,0.025254
13,98.52,4.6911363,constant,0.0476177
13,12.58,0.1697602,lnclvalue_psf,0.0134983
8,99.93,4.0029573,constant,0.0400558
8,12.57,0.1966381,lnclvalue_psf,0.0156419
4,130.96,3.9321504,constant,0.0300265
4,35.78,0.3675523,lnclvalue_psf,0.0102737
20,99.93,4.0029573,constant,0.0400558
20,12.57,0.1966381,lnclvalue_psf,0.0156419
21,99.93,4.0029573,constant,0.0400558
21,12.57,0.1966381,lnclvalue_psf,0.0156419
