sub_model_id,t_statistic,estimate,coefficient_name,standard_error
3,183.173,4.86802,constant,0.0265761
3,10.1373,0.0950967,lnclvalue_psf,0.00938083
4,36.8099,3.82913,constant,0.305504
4,8.47591,0.23291,lnclvalue_psf,0.0995424
8,40.7415,1.98022,constant,0.0486046
8,10.111,0.253617,lnclvalue_psf,0.0250833
12,36.8099,3.82913,constant,0.104024
12,8.47591,0.23291,lnclvalue_psf,0.0274791
13,341.159,4.901,constant,0.0143657
13,24.3167,0.104459,lnclvalue_psf,0.00429578
19,926.848,4.45787,constant,0.00480971
19,113.334,0.180136,lnclvalue_psf,0.00158944
20,40.9878,1.98198,constant,0.0483552
20,10.1455,0.25346,lnclvalue_psf,0.0249825
21,10.8527,1.98022,constant,0.36227
21,0.000297241,0.253617,lnclvalue_psf,0.152178
