plan_type_id,max_du_ac,max_far,max_coverage,max_height_ft,height_imputed
1,1012,0,NULL,477,1
2,600,12,NULL,400,0
3,566.28,0,NULL,357,1
4,516.186,1.5,NULL,341,1
5,479.16,8,NULL,328,1
6,467.6166,2.5,NULL,324,1
7,444.312,2.5,NULL,316,1
8,393.7824,1.5,NULL,298,1
9,383.328,11,NULL,294,1
10,388.5552,4,NULL,296,1
11,374,5.5,NULL,290,1
12,360,4.5,NULL,285,1
13,350,7,NULL,350,0
14,350,0.5,NULL,281,1
15,321.255,8,NULL,269,1
16,313.632,1.5,NULL,266,1
17,300,9.5,NULL,260,1
18,300,6,NULL,120,0
19,300,6,NULL,100,0
20,300,6,NULL,100,0
21,300,4,NULL,90,0
22,296.208,6,NULL,258,1
23,275,9,NULL,249,1
24,275,8,NULL,249,1
25,275,8,1.000,88,0
26,275,7,NULL,249,1
27,275.64768,4,NULL,249,1
28,257.004,21,NULL,420,1
29,260,9,1.000,2200,0
30,261.36,7,NULL,242,1
31,258.4197,4.5,NULL,241,1
32,250,10,0.650,250,0
33,250,7,NULL,237,1
34,250.9056,4.5,NULL,238,1
35,250,5,NULL,237,1
36,243.936,8,NULL,234,1
37,235.224,7,NULL,230,1
38,222.156,4.6,0.850,65,0
39,217.8,7,NULL,221,1
40,200,14,NULL,280,1
41,200,5,1.000,65,0
42,200,3,NULL,60,0
43,196,0.5,NULL,210,1
44,185.13,6.5,NULL,204,1
45,185.13,0,NULL,204,1
46,174.24,7,NULL,198,1
47,176,5,0.900,770,0
48,175,6,NULL,198,1
49,175.24,5.35,0.850,99,0
50,174.24,6,NULL,198,1
51,175,5,1.000,66,0
52,174.24,5.35,0.850,99,0
53,174.24,4,0.850,55,0
54,167.2704,6.5,NULL,194,1
55,169.884,3.52,0.650,65,0
56,167.2704,5.25,NULL,194,1
57,167.2704,5,NULL,194,1
58,165,3.75,NULL,990,0
59,157,3.25,0.600,65,0
60,153.549,4.5,NULL,186,1
61,150,7.92,1.000,95,0
62,150,7,NULL,2200,0
63,150,7,1.000,1760,0
64,150,6.5,1.000,200,0
65,152.46,3.5,0.900,85,0
66,152.46,3.5,0.950,125,0
67,150,5,0.900,110,0
68,150,5,NULL,75,0
69,150,5,0.950,80,0
70,150,5,1.000,880,0
71,152,3,NULL,185,1
